 Apple iPhone 11 (128GB) - Black,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51kGDXeFZKL._AC_UY218_.jpg,"69,900",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A094278725GV9I3L4VQUG&url=%2FApple-iPhone-11-128GB-Black%2Fdp%2FB07XVLW7YK%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1599221510%26sr%3D8-1-spons%26psc%3D1&qualifier=1599221509&id=883277086088558&widgetName=sp_atf
 Apple iPhone 7 (32GB) - Black,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41D9NDiSzjL._AC_UY218_.jpg,"29,799",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0715554A4L4V7YT3TXO&url=%2FApple-iPhone-Black-32GB-Storage%2Fdp%2FB01LZKSVRB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1599221510%26sr%3D8-2-spons%26psc%3D1&qualifier=1599221509&id=883277086088558&widgetName=sp_atf
" Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,"17,499",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_3?dchild=1&keywords=mobile&qid=1599221510&sr=8-3
" OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71wPwmxo2NL._AC_UY218_.jpg,"10,990",https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPTP6Q/ref=sr_1_4?dchild=1&keywords=mobile&qid=1599221510&sr=8-4
" Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"13,999",https://www.amazon.in/Test-Exclusive-614/dp/B07HGJJ559/ref=sr_1_5?dchild=1&keywords=mobile&qid=1599221510&sr=8-5
" Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71yXShgxvpL._AC_UY218_.jpg,"7,499",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07X4R63DF/ref=sr_1_6?dchild=1&keywords=mobile&qid=1599221510&sr=8-6
" OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71wPwmxo2NL._AC_UY218_.jpg,"11,990",https://www.amazon.in/Dazzling-Storage-Additional-Exchange-Offers/dp/B07SDPJ4XJ/ref=sr_1_7?dchild=1&keywords=mobile&qid=1599221510&sr=8-7
" OPPO A5 2020 (Mirror Black, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars,https://m.media-amazon.com/images/I/514zYTXaCqL._AC_UY218_.jpg,"10,990",https://www.amazon.in/Mirror-Storage-Additional-Exchange-Offers/dp/B07SBK1WQQ/ref=sr_1_8?dchild=1&keywords=mobile&qid=1599221510&sr=8-8
" OPPO A5S (Black, 3GB RAM, 32GB Storage) With No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71ZU4VsevqL._AC_UY218_.jpg,"9,990",https://www.amazon.in/Black-Storage-Additional-Exchange-Offers/dp/B07PP2K69Z/ref=sr_1_9?dchild=1&keywords=mobile&qid=1599221510&sr=8-9
" Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"15,999",https://www.amazon.in/Test-Exclusive-668/dp/B07HGH88GL/ref=sr_1_10?dchild=1&keywords=mobile&qid=1599221510&sr=8-10
" Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",3.9 out of 5 stars,https://m.media-amazon.com/images/I/81onqHVeECL._AC_UY218_.jpg,"8,399",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_11?dchild=1&keywords=mobile&qid=1599221510&sr=8-11
